Node,X-Position [m],Y-Position [m],Peak power [kW]
SimpleDistrict_7,80.0,48.0,19.347279296900002
SimpleDistrict_1,56.0,72.0,19.347279296900002
SimpleDistrict_13,80.0,0.0,19.347279296900002
h,68.0,0.0,154.77823437520004
SimpleDistrict_12,80.0,24.0,19.347279296900002
d,20.0,0.0,154.77823437520001
SimpleDistrict_6,32.0,48.0,19.347279296900002
SimpleDistrict_2,8.0,72.0,19.347279296900002
f,68.0,48.0,77.38911718760001
g,68.0,24.0,116.08367578140002
SimpleDistrict_8,56.0,48.0,19.347279296900002
i,44.0,-12.0,309.5564687504001
SimpleDistrict_16,8.0,0.0,19.347279296900002
SimpleDistrict_9,56.0,24.0,19.347279296900002
c,20.0,24.0,116.08367578140002
a,20.0,72.0,38.694558593800004
SimpleDistrict_5,8.0,48.0,19.347279296900002
SimpleDistrict_15,32.0,0.0,19.347279296900002
SimpleDistrict_14,56.0,0.0,19.347279296900002
b,20.0,48.0,77.38911718760001
SimpleDistrict_4,80.0,72.0,19.347279296900002
SimpleDistrict_10,8.0,24.0,19.347279296900002
SimpleDistrict_11,32.0,24.0,19.347279296900002
e,68.0,72.0,38.694558593800004
SimpleDistrict_3,32.0,72.0,19.347279296900002
